study_words,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate
tiger ,,0,0,0,1,,,,,8.8346037,8.8346037,1,2.8513216,,,,,,,,,,,,,,,,,1,1,2023-09-29_11h47.36.680,priming task,2023.1.3,119.5344373
book ,,0,1,1,2,,,,,11.6910277,11.6910277,1,1.5930385,,,,,,,,,,,,,,,,,1,1,2023-09-29_11h47.36.680,priming task,2023.1.3,119.5344373
piano,,0,2,2,4,,,,,13.2931888,13.2931888,1,2.20275,,,,,,,,,,,,,,,,,1,1,2023-09-29_11h47.36.680,priming task,2023.1.3,119.5344373
cushion,,0,3,3,3,,,,,15.5116813,15.5116813,1,1.1731768,,,,,,,,,,,,,,,,,1,1,2023-09-29_11h47.36.680,priming task,2023.1.3,119.5344373
vase ,,0,4,4,0,,,,,16.6955936,16.6955936,1,0.9039621,,,,,,,,,,,,,,,,,1,1,2023-09-29_11h47.36.680,priming task,2023.1.3,119.5344373
,_oo_,,,,,0,0,0,2,,,,,17.6184681,17.6184681,17.6184681,0.0090317,book ,[-0.5027777777777778],[-0.2916666666666667],[1],[0],[0],[9.140543799992884],[],,,,,1,1,2023-09-29_11h47.36.680,priming task,2023.1.3,119.5344373
,0_a_n_e,,,,,0,1,1,9,,,,,27.623148,27.623148,27.623148,0.013839,,[0.0962962962962963],[-0.29907407407407405],[1],[0],[0],[0.9007577000011224],['text_3'],,,,,1,1,2023-09-29_11h47.36.680,priming task,2023.1.3,119.5344373
,_p_a_d_,,,,,0,2,2,7,,,,,28.525204,28.525204,28.525204,0.0025468,,[],[],[],[],[],[],[],38.5272499,38.5272499,38.5272499,9.9988733,1,1,2023-09-29_11h47.36.680,priming task,2023.1.3,119.5344373
,t_g_r,,,,,0,3,3,1,,,,,38.5272499,38.5272499,38.5272499,0.0028782,tiger,[0.06018518518518518],[-0.29444444444444445],[1],[0],[0],[5.763548200004152],['text_3'],,,,,1,1,2023-09-29_11h47.36.680,priming task,2023.1.3,119.5344373
,c_m_r,,,,,0,4,4,6,,,,,44.2966148,44.2966148,44.2966148,0.0034507,camera,[0.03611111111111111],[-0.30925925925925923],[1],[0],[0],[9.26926519999688],['text_3'],,,,,1,1,2023-09-29_11h47.36.680,priming task,2023.1.3,119.5344373
,_ia_n_,,,,,0,5,5,4,,,,,53.5686086,53.5686086,53.5686086,0.0027854,p,[],[],[],[],[],[],[],,,,,1,1,2023-09-29_11h47.36.680,priming task,2023.1.3,119.5344373
,_o_s_,,,,,0,6,6,8,,,,,63.5771922,63.5771922,63.5771922,0.0105281,piano,[0.023148148148148147],[-0.3138888888888889],[1],[0],[0],[7.804969200005871],['text_3'],,,,,1,1,2023-09-29_11h47.36.680,priming task,2023.1.3,119.5344373
,,,,,,,,,,,,,,71.3874916,71.3874916,71.3874916,0.0033303,,,,,,,,,,,,,,,,,,
manasvi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,
Vase,,0,0,0,0,,,,,11.9628028,11.9628028,2.011111111,2.4446058,,,,,,,,,,,,,1,1,2023-09-29_11h35.35.741,5_Priming,2023.1.3,60.1413683,,,,
Cushion,,0,1,1,3,,,,,14.4110847,14.4110847,2.011111111,0.8246031,,,,,,,,,,,,,1,1,2023-09-29_11h35.35.741,5_Priming,2023.1.3,60.1413683,,,,
Book,,0,2,2,2,,,,,15.2621179,15.2621179,2.011111111,0.8205665,,,,,,,,,,,,,1,1,2023-09-29_11h35.35.741,5_Priming,2023.1.3,60.1413683,,,,
Tiger,,0,3,3,1,,,,,16.1069866,16.1069866,2.011111111,0.7738784,,,,,,,,,,,,,1,1,2023-09-29_11h35.35.741,5_Priming,2023.1.3,60.1413683,,,,
Piano,,0,4,4,4,,,,,16.9026346,16.9026346,2.011111111,0.8589914,,,,,,,,,,,,,1,1,2023-09-29_11h35.35.741,5_Priming,2023.1.3,60.1413683,,,,
,o_a_n_e,,,,,0,0,0,9,,,,,17.7836476,17.7836476,17.7836476,0.0076686,orange,[-0.03981481481481482],[-0.29907407407407405],[1],[0],[0],[6.207022599992342],['text_3'],1,1,2023-09-29_11h35.35.741,5_Priming,2023.1.3,60.1413683,,,,
,_o_s_,,,,,0,1,1,8,,,,,24.0015751,24.0015751,24.0015751,0.005075,lo,[],[],[],[],[],[],[],1,1,2023-09-29_11h35.35.741,5_Priming,2023.1.3,60.1413683,,,,
,_oo_,,,,,0,2,2,2,,,,,34.0086675,34.0086675,34.0086675,0.0088701,book,[-0.10555555555555556],[-0.30925925925925923],[1],[0],[0],[5.994426399993245],['text_3'],1,1,2023-09-29_11h35.35.741,5_Priming,2023.1.3,60.1413683,,,,
,_a_e,,,,,0,3,3,0,,,,,40.0066513,40.0066513,40.0066513,0.0049645,vase,[-0.10185185185185185],[-0.30092592592592593],[1],[0],[0],[3.948868499996024],['text_3'],1,1,2023-09-29_11h35.35.741,5_Priming,2023.1.3,60.1413683,,,,
,_ia_n_,,,,,0,4,4,4,,,,,43.9655522,43.9655522,43.9655522,0.0061741,piano,[-0.05277777777777778],[-0.28888888888888886],[1],[0],[0],[5.724904700007755],['text_3'],1,1,2023-09-29_11h35.35.741,5_Priming,2023.1.3,60.1413683,,,,
,t_g_r,,,,,0,5,5,1,,,,,49.7013066,49.7013066,49.7013066,0.0055658,tiger,[-0.12777777777777777],[-0.29814814814814816],[1],[0],[0],[4.230033899992122],['text_3'],1,1,2023-09-29_11h35.35.741,5_Priming,2023.1.3,60.1413683,,,,
,c_s_h_o_n,,,,,0,6,6,3,,,,,53.9350956,53.9350956,53.9350956,0.003314,cushion,[-0.10648148148148148],[-0.30185185185185187],[1],[0],[0],[5.247936500003561],['text_3'],1,1,2023-09-29_11h35.35.741,5_Priming,2023.1.3,60.1413683,,,,
,c_m_r_,,,,,0,7,7,6,,,,,59.1873417,59.1873417,59.1873417,0.0036012,camera,[-0.10648148148148148],[-0.30185185185185187],[1],[0],[0],[3.4522569999971893],['text_3'],1,1,2023-09-29_11h35.35.741,5_Priming,2023.1.3,60.1413683,,,,
,_ea_o_,,,,,0,8,8,5,,,,,62.6442824,62.6442824,62.6442824,0.004059,,[],[],[],[],[],[],[],1,1,2023-09-29_11h35.35.741,5_Priming,2023.1.3,60.1413683,,,,
,_p_a_d_,,,,,0,9,9,7,,,,,72.6523499,72.6523499,72.6523499,0.0151462,ipad,[-0.10648148148148148],[-0.30185185185185187],[1],[0],[0],[7.652005500000087],['text_3'],1,1,2023-09-29_11h35.35.741,5_Priming,2023.1.3,60.1413683,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jinal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,,,,
book,,0,0,0,2,,,,,8.8726633,8.8726633,1.014814815,2.115808,,,,,,,,,,,,,1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
tiger,,0,1,1,1,,,,,11.0007346,11.0007346,1.014814815,0.3287495,,,,,,,,,,,,,1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
cushion,,0,2,2,3,,,,,11.3502905,11.3502905,1.014814815,0.5431455,,,,,,,,,,,,,1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
piano,,0,3,3,4,,,,,11.9164834,11.9164834,1.014814815,0.5475151,,,,,,,,,,,,,1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
vase,,0,4,4,0,,,,,12.4828608,12.4828608,1.014814815,0.580298,,,,,,,,,,,,,1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,_p_a_d_,,,,,0,0,0,7,,,,,13.0871372,13.0871372,13.0871372,0.0081908,ipads,[-0.05462962962962963],[-0.31296296296296294],[1],[0],[0],[9.74968839995563],['text_3'],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,c_s_h_o_n,,,,,0,1,1,3,,,,,22.8411512,22.8411512,22.8411512,0.0018554,cushion,[-0.05462962962962963],[-0.31296296296296294],[1],[0],[0],[3.2438479997217655],['text_3'],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,o_a_n_e,,,,,0,2,2,9,,,,,26.0885087,26.0885087,26.0885087,0.0019569,orange,[-0.05462962962962963],[-0.31296296296296294],[1],[0],[0],[2.744737599976361],['text_3'],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,c_m_r_,,,,,0,3,3,6,,,,,28.8359824,28.8359824,28.8359824,0.0027463,camera,[-0.05462962962962963],[-0.31296296296296294],[1],[0],[0],[3.326350699644536],['text_3'],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,_ia_n_,,,,,0,4,4,4,,,,,32.1666505,32.1666505,32.1666505,0.0027192,piano,[-0.05462962962962963],[-0.31296296296296294],[1],[0],[0],[2.7107772999443114],['text_3'],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,_ea_o_,,,,,0,5,5,5,,,,,34.8809503,34.8809503,34.8809503,0.002491,peacoc,[],[],[],[],[],[],[],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,_oo_,,,,,0,6,6,2,,,,,44.8894552,44.8894552,44.8894552,0.0104009,cool,[-0.05462962962962963],[-0.31296296296296294],[1],[0],[0],[4.276745600160211],['text_3'],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,_a_e,,,,,0,7,7,0,,,,,49.1690565,49.1690565,49.1690565,0.0021837,base,[-0.05462962962962963],[-0.31296296296296294],[1],[0],[0],[3.959368800278753],['text_3'],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,_o_s_,,,,,0,8,8,8,,,,,53.1328468,53.1328468,53.1328468,0.0021521,rose,[-0.05462962962962963],[-0.31296296296296294],[1],[0],[0],[2.512404100038111],['text_3'],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,t_g_r,,,,,0,9,9,1,,,,,55.6472603,55.6472603,55.6472603,0.0023051,tiger,[-0.05462962962962963],[-0.31296296296296294],[1],[0],[0],[3.792937899939716],['text_3'],1,1,2023-09-29_11h45.00.650,word priming experiment,2023.1.3,60.01403129,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suyashi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
